wtc_id,title_en,title_te,english,telugu_chars,english_chars,telugu_stanzas,english_stanzas,author,library_status,url
48,divam prema swaroopam,దైవం ప్రేమ స్వరూపం ప్రేమకు భాష్యం శ్రీయేసుడే – అవనిలో,none,578,0,2,0,,missing,https://waytochurch.com/lyrics/song/48
49,nannethagano preminchinaavu,నన్నెంతగానో ప్రేమించెను నన్నెంతగానో కరుణించెను,none,650,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/49
50,naa pere theliyani,నా పేరే తెలియని ప్రజలు ఎందరో ఉన్నారు,none,440,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/50
51,naa yesu raju,నా యేసు రాజుతో నేను సాగి పోదును,none,979,0,3,0,,missing,https://waytochurch.com/lyrics/song/51
52,nine preminthunu,నిన్నే ప్రేమింతును నిన్నే ప్రేమింతును యేసు,none,683,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/52
53,nithyudyna dhevuni thodu o,నిత్యుడైన దేవుని తోడు నీడ నీపై ఉడును,none,361,0,3,0,,missing,https://waytochurch.com/lyrics/song/53
54,neeti yuta yodha,నీటి యూట యొద్ద నాట బడితిమి వేరుతన్ని ఎదిగి ఫలియింతుము,none,413,0,3,0,,missing,https://waytochurch.com/lyrics/song/54
55,neeti vaagula koraku,నీటి వాగుల కొరకు దుప్పి ఆశించునట్లు,none,528,0,2,0,,in_library_exact,https://waytochurch.com/lyrics/song/55
56,neevu nirminchina dhevalayamulo,నీవు నిర్మించిన దేవాలయములో నీతో జత పనివారము,none,606,0,3,0,,missing,https://waytochurch.com/lyrics/song/56
57,nee swaramu vinipinchu,నీ స్వరము వినిపించు ప్రభువా నీ దాసుడాలకించున్,none,536,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/57
58,neelakasamlona nigikegasina thaara,నీలాకాశంలోన నింగికెగసె తార,none,458,0,2,0,,missing,https://waytochurch.com/lyrics/song/58
59,nee siluvalone naa mukthi,నీ శిలువలోనే నా ముక్తీ నీ నీడలోనే నా జీవితం,none,563,0,2,0,,missing,https://waytochurch.com/lyrics/song/59
60,neevunte naaku chaalu,నీవుంటే నాకు చాలు యేసయ్యా నీ వెంటే నేను వుంటా నేసయ్యా,full,971,420,4,4,,in_library_fuzzy,https://waytochurch.com/lyrics/song/60
61,nenu papino prabhuva,నే పాపినో ప్రభువా నను కావుమా దేవా,none,361,0,2,0,,missing,https://waytochurch.com/lyrics/song/61
62,parama jeevamu naaku,పరమ జీవము నాకు నివ్వ తిరిగి లేచెను నాతో నుండ,none,519,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/62
63,parama pavanuda mariya,పరమ పావనుడు మరియ తనయుడు అవతరించెనే శుభ దినాన,none,397,0,2,0,,missing,https://waytochurch.com/lyrics/song/63
64,prabhuva ni karyamulu ab,ప్రభువా నీ కార్యములు ఆశ్చర్య కరమైనవి,none,784,0,2,0,,in_library_exact,https://waytochurch.com/lyrics/song/64
65,padedhamu vededhamu cm,పాడెదము వేడెదము యేసు నామము,none,323,0,3,0,,missing,https://waytochurch.com/lyrics/song/65
66,pradhana vinedi pavanuda,ప్రార్ధన వినెడి పావనుడా ప్రార్ధన మాకు నేర్పుమయా,none,538,0,4,0,,missing,https://waytochurch.com/lyrics/song/66
68,mahodayam subhodayam,మహోదయం శుభోదయం సర్వలోకాని కరుణోదయం,none,394,0,2,0,,missing,https://waytochurch.com/lyrics/song/68
69,maranamu gelichina mana prabhuvu,మరణము గెలిచెను మన ప్రభువు – మనుజాళి రక్షణ కోసమూ,none,520,0,1,0,,in_library_exact,https://waytochurch.com/lyrics/song/69
70,mandhalo cherani gorrelenno,మందలో చేరని గొర్రెలెన్నో కోట్ల కొలదిగా కలవు యిల,none,449,0,3,0,,missing,https://waytochurch.com/lyrics/song/70
71,yehova na kapari,యెహోవ నా కాపరి యెహోవ నా ఊపిరి నాకు లేమి ఏమి,none,427,0,3,0,,missing,https://waytochurch.com/lyrics/song/71
72,yehova ni namamu,యెహోవా నీ నామము ఎంతో బలమైనది,none,500,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/72
73,yesu rakthamu rakthamu,యేసు రక్తము రక్తము రక్తము యేసు రక్తము రక్తము రక్తము,none,1088,0,3,0,,missing,https://waytochurch.com/lyrics/song/73
74,yehova dhayaludu,యెహోవా దయాళుడు,none,431,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/74
75,yesu ni krupalo,యేసు నీ క్రుపలో మము కాపాడుము దేవా,none,420,0,2,0,,missing,https://waytochurch.com/lyrics/song/75
76,randeho vinarandeho,రండహో వినరండహో శుభ వార్త ఒకటి వినిపించెదం,none,543,0,3,0,,missing,https://waytochurch.com/lyrics/song/76
77,randi yehova,రండి యెహోవాను గూర్చి ఉత్సాహగానము చేయుదము,none,459,0,3,0,,in_library_fuzzy,https://waytochurch.com/lyrics/song/77
78,rakada samayamulo,రాకడ సమయములో కడబూర శబ్దంలో,none,290,0,2,0,,missing,https://waytochurch.com/lyrics/song/78
79,ruchi choochi yerigithini,రుచి చూచి ఎరిగితిని యెహోవా ఉత్తముడనియు,none,462,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/79
80,lekhaleni chukalenno,లెక్కలేని చుక్కలెన్నో చక్కగా వెలుగుచుండ,none,721,0,3,0,,missing,https://waytochurch.com/lyrics/song/80
81,lekhimpaleni sthotramul,లెక్కింపలేని స్తోత్రముల్ దేవా ఎల్లప్పుడు నే పాడెదన్,none,416,0,3,0,,missing,https://waytochurch.com/lyrics/song/81
82,vijaya gosha vinipinchenu,విజయ ఘోష వినిపించెను విశ్వమంత గళము లెత్తి వినిపించర స్తోత్ర గీతముల్,none,1211,0,2,0,,missing,https://waytochurch.com/lyrics/song/82
83,vimochakudu mana prabhu,విమోచకుడు మన యేసు ప్రభువు అవతరించిన శుభ దినమే,none,530,0,2,0,,missing,https://waytochurch.com/lyrics/song/83
