id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
2629,yaesu kreesthuni golva ranna y,యేసు క్రీస్తుని గొల్వ రన్న యీ,గొల్లపల్లి నతానియేలు,Andhra Kristava Keerthanalu,యేసు క్రీస్తును కొలుచుట,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2629,1304,1648
2630,idhi yehoavaa kaligimchina dhi,ఇది యెహోవా కలిగించిన దినము సుద,పురుషోత్తమ చౌధరి,Andhra Kristava Keerthanalu,ప్రభు దినము,ragam: యదుకుల కాంభోజి -yadhukula kaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2630,441,564
2631,sukshaema shubhakaala vishraamthi dhin,సుక్షేమ శుభకాల విశ్రాంతి దిన,క్రిస్టఫర్ వర్డ్స్ వర్త్,Andhra Kristava Keerthanalu,O day of rest and gladness,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2631,412,523
2632,thraahi maam kreesthu naadha d,త్రాహి మాం క్రీస్తు నాధ దయఁ జూ,పురుషోత్తము ఛౌదరి,Andhra Kristava Keerthanalu,పశ్చాత్తాప ప్రార్థన,ragam: యదుకుల కాంభోజి-yadhukula kaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2632,802,1009
2633,sharanu naa yaesu prabhuvaa ne,శరణు నా యేసు ప్రభువా నీవెగా పర,మిక్కిలి సమూయేలు,Andhra Kristava Keerthanalu,క్రీస్తు మోక్ష మార్గము,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2633,417,533
2634,raavayya yaesunaadhaa maa raks,రావయ్య యేసునాధా మా రక్షణమార్గమ,,Andhra Kristava Keerthanalu,క్రైస్తవ పశ్చాత్తాపము,ragam: అఠాణ-aTaaN,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2634,470,592
2635,ae mukhaambuthoada vaththu yae,ఏ ముఖాంబుతోడ వత్తు యేసు నాధనీద,జొన్నకూటి దేవదానం,Andhra Kristava Keerthanalu,పాప పశ్చాత్తాపము,ragam: నాధనామక్రియ-naaDhanaamakriy,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2635,407,519
2636,nannu dhidhdhumu chinna praaya,నన్ను దిద్దుము చిన్న ప్రాయము స,ముంగమూరి దేవదాసు,Andhra Kristava Keerthanalu,పాపి మరలుట,ragam: కమాసు-kamaasu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2636,913,1147
2637,nammithi nayyaa yaesayyaa nee,నమ్మితి నయ్యా యేసయ్యా నీ పాదము,బుఱ్ఱారెడ్డి,Andhra Kristava Keerthanalu,క్రీస్తును నమ్ముట,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2637,449,559
2638,dhaeva neevu nannu ao barishoa,దేవ నీవు నన్ను ఁ బరిశో ధించి బ,మల్లెల దావీదు,Andhra Kristava Keerthanalu,పశ్చాత్తాప గీతి,ragam: భూపాళము-bhoopaaLamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2638,919,1151
2639,paapa pashchaaththaapa momdhan,పాప పశ్చాత్తాప మొందని వారికి ప,వి వెంకటస్వామి,Andhra Kristava Keerthanalu,పశ్చాత్తాపము లేనిదే పరమ భాగ్యము లేదు,ragam: అసావేరి-asaavaeri,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2639,679,856
2640,paapini krupa joopavayyaa dhaa,పాపిని కృప జూపవయ్యా దాపు జేరిత,సిరిపురపు కృపానందము,Andhra Kristava Keerthanalu,క్షమాపణ వేడుట,ragam: కమాసు-kamaasu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2640,869,1114
2641,khmdimpavalenu dhurgunamulu kh,ఖండింపవలెను దుర్గుణములు ఖండింప,,Andhra Kristava Keerthanalu,పాపమును విసర్జించుట,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2641,669,853
2642,manasaa vinavaemae kreesthunia,మనసా వినవేమే క్రీస్తునిఁ గని స,బి కోటయ్య,Andhra Kristava Keerthanalu,మారుమనసుఁ బొందుట,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2642,538,699
2643,dhaeva dheenapaapini oa paava,దేవ దీనపాపిని ఓ పావన గావు కృప,,Andhra Kristava Keerthanalu,దావీదు కీర్తన 51,ragam: శంకరాభరణము-shMkaraabharaNamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2643,973,1259
2644,aparaadhini yaesayya krupa joo,అపరాధిని యేసయ్య కృప జూపి బ్రోవ,సిరిపురపు కృపానందము,Andhra Kristava Keerthanalu,పాపి పశ్చాత్తాపము,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2644,700,870
2645,pashchaaththaapamu bomdhumu je,పశ్చాత్తాపము బొందుము జీవమ నీవు,మోర్త ప్రకాశము,Andhra Kristava Keerthanalu,పశ్చాత్తాపపడుటకుఁ బ్రేరేపణ,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2645,916,1172
2646,,,చార్లెట్ ఇలియట్,Andhra Kristava Keerthanalu,"Just as I am, without one plea",,TELUGU,,https://waytochurch.com/lyrics/song/2646,564,669
2647,,,లూయిన్ హార్టాస్,Andhra Kristava Keerthanalu,I hear Thy welcome voice,,TELUGU,,https://waytochurch.com/lyrics/song/2647,282,345
2648,,,ఆర్థర్ క్లీన్లాండ్ కోన్స్,Andhra Kristava Keerthanalu,Saviour sprinkle many nations,,TELUGU,,https://waytochurch.com/lyrics/song/2648,504,598
2649,unnapaatuna vachchu chunnaanu,ఉన్నపాటున వచ్చు చున్నాను నీ పా,పురుషోత్తము ఛౌదరి,Andhra Kristava Keerthanalu,ఉన్న విధముననే నీ యొద్దకు వచ్చుచున్నాను,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2649,1142,1451
2650,dhikkulaeni vaaaodanoa prabhoa,దిక్కులేని వాఁడనో ప్రభో నీ యండ,చిక్కాల పాలస్,Andhra Kristava Keerthanalu,పాపపు టొప్పుకోలు,ragam: కేదారగౌళ-kaedhaaragauL,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2650,801,1014
2651,paapamu dhalaochu sumee pashch,పాపము దలఁచు సుమీ పశ్చా త్తాపము,యెషయా వీరమార్టిన్,Andhra Kristava Keerthanalu,పశ్చాత్తాప ప్రేరేపణ,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2651,597,753
2652,paapinayyaa naeao baapi nayyaa,పాపినయ్యా నేఁ బాపి నయ్యా కాపాడ,బేతాళ జాన్,Andhra Kristava Keerthanalu,పాపపు టొప్పుకోలు,ragam: హరికాంభోజి-harikaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2652,640,809
2653,erimgi yeriaogi chedipoathivi,ఎఱింగి యెఱిఁగి చెడిపోతివి మనసా,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,ఆత్మ వంచన,ragam: ధన్యాసి-Dhanyaasi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2653,890,1110
2654,yaesu vibhuniao dhalaochi madh,యేసు విభునిఁ దలఁచి మదిలో ద్వేష,డేవిడ్ లైటన్,Andhra Kristava Keerthanalu,పశ్చాత్తాప ప్రేరేపణ,ragam: బిలహరి-bilahari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2654,760,989
2655,aadharimpumu yaesuvaa ni nnaas,ఆదరింపుము యేసువా ని న్నాశ్రయిం,వి జి జాన్ సుందరరావు,Andhra Kristava Keerthanalu,పాపి విలాపము,ragam: బిలహరి-bilahari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2655,555,728
2656,thana yakramamulaku kshmaa pan,తన యక్రమములకు క్షమా పణ నొందినవ,మల్లెల దావీదు,Andhra Kristava Keerthanalu,పాపక్షమ,ragam: ఖరహరప్రియ-kharaharapriy,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2656,1214,1572
2657,yaesuaodu raaaogan jaesina dho,యేసుఁడు రాఁగన్ జేసిన దోషము నాశ,మిక్కిలి ఫ్రెడరిక్,Andhra Kristava Keerthanalu,పాపము మీఁది క్రీస్తుని విజయము,ragam: అఠాణ-aTaaN,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2657,573,680
2658,,,ఎర్డ్మాన్ న్యూమీస్టెర్,Andhra Kristava Keerthanalu,Sinners Jesus will receive,,TELUGU,,https://waytochurch.com/lyrics/song/2658,375,464
2659,,,ఫ్రాన్సెస్ జేన్వేన్ ఆల్స్టీన్,Andhra Kristava Keerthanalu,"Jesus, keep me near the Cross",,TELUGU,,https://waytochurch.com/lyrics/song/2659,371,443
2660,,,జేకబ్ చేంబర్లేస్,Andhra Kristava Keerthanalu,What can wash away my stain ?,,TELUGU,,https://waytochurch.com/lyrics/song/2660,364,474
2661,,,అగస్గస్ మాంటేగు టాన్లేడీ,Andhra Kristava Keerthanalu,"Rock of ages, cleft for me",,TELUGU,,https://waytochurch.com/lyrics/song/2661,446,558
2662,,,విలియం కొనర్,Andhra Kristava Keerthanalu,There is a fountain filled with blood,,TELUGU,,https://waytochurch.com/lyrics/song/2662,473,560
2663,parama raajyamunaku narulu thi,పరమ రాజ్యమునకు నరులు తిరిగి పు,తూపిలి రంగయ్య,Andhra Kristava Keerthanalu,నూతన జన్మముBaptism,ragam: శంకరాభరణము-shMkaraabharaNamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2663,825,1031
2664,,,ఫిలిప్ డాడ్రిడ్జి,Andhra Kristava Keerthanalu,Oh happy day that fixed my choice,,TELUGU,,https://waytochurch.com/lyrics/song/2664,536,667
2665,,,ప్రాన్సెస్ జేన్వేన్ ఆల్స్టీన్,Andhra Kristava Keerthanalu,Blessed assurance - Jesus is Mine,,TELUGU,,https://waytochurch.com/lyrics/song/2665,393,487
2666,aanmdha magu mukthi yae naa mm,ఆనంద మగు ముక్తి యే నా మందిరము,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,నిత్యజీవానందము,ragam: సురటి-surati,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2666,512,656
2667,naa kimtha proathsaahaa nmdhmb,నా కింత ప్రోత్సాహా నందంబుల్ గల,ముంగమూరి దేవదాసు,Andhra Kristava Keerthanalu,క్రీస్తునందలి నా యానందము,ragam: కళ్యాణి-kaLyaaNi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2667,1062,1278
2668,itharula saakshyamu lemthoa ga,ఇతరుల సాక్ష్యము లెంతో గలిగియున,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,మనోసాక్ష్యానందము,ragam: శహన-shahan,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2668,563,713
2669,siluva sainikulaaraa niluvmdi,సిలువ సైనికులారా నిలువండి వడి,జి మునిస్వామి,Andhra Kristava Keerthanalu,క్రైస్తవమను యుద్ధము,ragam: సురటి-surati,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2669,560,703
2670,veerula mayyaa jaya veerula ma,వీరుల మయ్యా జయ వీరుల మయ్యా మా,ఎ  జెఖర్యా,Andhra Kristava Keerthanalu,క్రైస్తవ వీరులు,ragam: శంకరాభరణము-shMkaraabharaNamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2670,409,522
2671,yaesu kreesthu mathasthuao dan,యేసు క్రీస్తు మతస్థుఁ డనఁగా నె,మేడికాయల సాధువు,Andhra Kristava Keerthanalu,క్రైస్తవ లక్షణము,ragam: శంకరాభరణము-shMkaraabharaNamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2671,682,840
2672,yaesuprabhukai saakshulevareva,యేసుప్రభుకై సాక్షులెవరెవరో ఎవ్,చెట్టి భానుమూర్తి,Andhra Kristava Keerthanalu,యేసునకు సాక్షులు,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2672,852,1087
2673,,,నబీన్ చారింగ్ కూల్డ్,Andhra Kristava Keerthanalu,Onward Christian Soldiers,,TELUGU,,https://waytochurch.com/lyrics/song/2673,445,537
2674,,,జార్జి డఫీల్డ్,Andhra Kristava Keerthanalu,"Stand up, Stand up for Jesus",,TELUGU,,https://waytochurch.com/lyrics/song/2674,404,505
2675,smthoashimpare priyulaaraa yae,సంతోషింపరె ప్రియులారా యేసుని చ,ఏ బి  మాసిలామణి,Andhra Kristava Keerthanalu,రక్షణానందము,ragam: కళ్యాణి-kaLyaaNi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2675,1099,1408
2676,naa yaesu naa yaathma balamaa,నా యేసు నా యాత్మ బలమా నీదు గ,,Andhra Kristava Keerthanalu,రక్షణ పొందిన పాపి,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2676,803,1036
2677,,నీ కన్న నిఁక వేరే వేల్పులు లేర,రావూరి లక్ష్మీనరసయ్య,Andhra Kristava Keerthanalu,యేసే రక్షకుఁడు,ragam: సావేరి-saavaeri,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2677,652,837
2678,velugunu rakshna karthayunagun,వెలుగును రక్షణ కర్తయునగునా బలమ,రావి జాన్ సుందరరావు,Andhra Kristava Keerthanalu,యేసు నా రక్షకుడు,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2678,693,856
2679,naenu kreesthu prabhuni jaeri,నేను క్రీస్తు ప్రభుని జేరి నేన,సి  రవివర్మ,Andhra Kristava Keerthanalu,క్రీస్తుని బోలియుందును,ragam: బేహాగ్-baehaag,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2679,604,720
2680,,,ఫిలిఫ్ బ్లిస్,Andhra Kristava Keerthanalu,Sing them over again to me,,TELUGU,,https://waytochurch.com/lyrics/song/2680,340,423
2681,,,జి ఎఫ్ రూట్,Andhra Kristava Keerthanalu,Come to the Saviour,,TELUGU,,https://waytochurch.com/lyrics/song/2681,344,429
2682,saakshya michchedha svaami yae,సాక్ష్య మిచ్చెద స్వామి యేసు దే,మల్లెల దావీదు,Andhra Kristava Keerthanalu,క్రైస్తవ సాక్ష్యము,ragam: హిందూస్థాని ముఖారి-hiMdhoosThaani mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2682,842,1045
2683,naa yaathma lemmu sidhdhamu,నా యాత్మ లెమ్ము సిద్ధము కమ్మ,పంతగాని పరదేశి,Andhra Kristava Keerthanalu,"నా ఆత్మా, మేలుకొమ్ము",ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2683,564,709
2684,laelemmu kraisthavuaodaa neelo,లేలెమ్ము క్రైస్తవుఁడా నీలో మేల,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,క్రైస్తవ యుద్ధప్రేరణము,ragam: శహన-shahan,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2684,526,633
2685,aela chimtha yaela vmtha yicha,ఏల చింత యేల వంత యిచట నీకు క్రై,మేడికాయల సాధువు,Andhra Kristava Keerthanalu,క్రీస్తు మనల నెన్నఁడు విడువఁడు,ragam: నాట-naat,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2685,647,803
2686,dhaevaa vembadimchithi nee na,దేవా వెంబడించితి నీ నామమున్ జ,ఎ బి మాసిలామణి,Andhra Kristava Keerthanalu,క్రీస్తును వెంబడించుట,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2686,548,687
2687,bhayamaela kraisthavumdaa neev,భయమేల క్రైస్తవుండా నీవిక నపజయమ,జి జాన్ తాతయ్య,Andhra Kristava Keerthanalu,క్రైస్తవుని విజయము,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2687,601,797
2688,,,హోరేషియో రిక్మండ్ పామర్,Andhra Kristava Keerthanalu,Yield not to temptation,,TELUGU,,https://waytochurch.com/lyrics/song/2688,414,513
2689,painamai yunnaa nayyaa nee paa,పైనమై యున్నా నయ్యా నీ పాదాంబుజ,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,భక్తుని జీవితప్రయాణము,ragam: యదుకులకాంభోజి-yadhukulakaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2689,1366,1789
2690,,,,Andhra Kristava Keerthanalu,"Whither pilgrims, are you going?",,TELUGU,,https://waytochurch.com/lyrics/song/2690,564,717
2691,vadhdhu manasa budhdhi kurucha,వద్దు మనస బుద్ధి కురుచ పెద్దలక,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,సుబోధ,ragam: మోహన-moahan,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2691,791,951
2692,yaesuni korakai yila jeevimche,యేసుని కొరకై యిల జీవించెద భాసు,రావి జాన్ సుందరావు,Andhra Kristava Keerthanalu,యేసుకొరకే జీవింతును,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2692,1039,1291
2693,vaare mmchi kraisthavulu gadhaa yee l,వారె మంచి క్రైస్తవులు గదా యీ ల,,Andhra Kristava Keerthanalu,మంచి క్రైస్తవుల గుణములు,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2693,496,616
2694,yaesuni saevimpa dhayachaesith,యేసుని సేవింప దయచేసితివి ప్రేమ,పులిపాక జగన్నాధము,Andhra Kristava Keerthanalu,యేసు భాద్యత,ragam: రేగూప్తి-raegoopthi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2694,581,726
2695,aedhi naa vishraamthi yee loak,ఏది నా విశ్రాంతి యీ లోకమందు నే,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,ఇహలోకము విశ్రాంతి లేనిది,ragam: శుద్ధకాంభోజి-shudhDhakaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2695,862,1107
2696,,విసుకదే ప్రాణంబు విజ్ఞాని కిలన,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,విజ్ఞాని విసుగు,ragam: శుద్ధకాంభోజి-shudhDhakaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2696,882,1110
2697,imdhulaedhu niluchu pattanm kr,ఇందులేదు నిలుచు పట్టణం క్రీస్త,జె ఈ షార్మీ,Andhra Kristava Keerthanalu,క్రైస్తవ యాత్రికుఁడు,ragam: తోడి-thoadi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2697,561,702
2698,loakamu vaarella loakuvao jooc,లోకము వారెల్ల లోకువఁ జూచిన లోప,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,లోకము క్రీస్తుకు సాటిరాదు,ragam: మారువ-maaruv,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2698,970,1220
2699,ghanamaina kreesthu krupao gan,ఘనమైన క్రీస్తు కృపఁ గనుగొంటి న,యేసుదాసు నర్సయ్య,Andhra Kristava Keerthanalu,క్రీస్తునందు ఆనందించుట,ragam: బిలహరి-bilahari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2699,795,1038
2700,manasaanmdhamuao bomdhuta kann,మనసానందముఁ బొందుట కన్నను మరి య,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,మనశ్శాంతియే మహా భాగ్యము,ragam: సౌరాష్ట్ర-sauraaShtr,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2700,725,935
2701,,,శారా ఫ్లవర్ ఆడమ్స్,Andhra Kristava Keerthanalu,"Nearer, my God t Thee",,TELUGU,,https://waytochurch.com/lyrics/song/2701,437,558
2702,,,,Andhra Kristava Keerthanalu,When upon life's billows,,TELUGU,,https://waytochurch.com/lyrics/song/2702,542,682
2703,oa maa thmdri needhu naamamu n,ఓ మా తండ్రి నీదు నామము నిత్య మ,విలియం డానన్,Andhra Kristava Keerthanalu,ప్రభు ప్రార్థన,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2703,621,764
2704,ninnu naenu viduvanu dhaeva ne,నిన్ను నేను విడువను దేవ నీవు న,పులిపాక జగన్నాధము,Andhra Kristava Keerthanalu,'నీవు నన్ను ఆశీర్వదింపని యెడల నిన్ను వెళ్లనియ్యను',ragam: తోడి-thoadi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2704,840,1023
2705,vina rammu yaesu naadhuaoda na,విన రమ్ము యేసు నాధుఁడ నా మనవి,జోనయా బర్డర్,Andhra Kristava Keerthanalu,ప్రార్థన,ragam: జంఝూటి-jMjhooti,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2705,713,884
2706,praarthana vinedi paavanudaa p,ప్రార్థన వినెడి పావనుడా ప్రార్,,Andhra Kristava Keerthanalu,ఆదర్శ ప్రార్థన,,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2706,513,643
2707,,,విలియం వాల్ఫోర్డ్,Andhra Kristava Keerthanalu,Sweet Hour of Prayer,,TELUGU,,https://waytochurch.com/lyrics/song/2707,690,880
2708,,,ఎలిజబెత్ కాడ్నర్,Andhra Kristava Keerthanalu,"Lord, I hear of showes of blessing",,TELUGU,,https://waytochurch.com/lyrics/song/2708,541,664
2709,,,,Andhra Kristava Keerthanalu,There shall be showers of Blessing,,TELUGU,,https://waytochurch.com/lyrics/song/2709,398,500
2710,,,ఫ్రాన్సెస్ జేన్వేన్ ఆల్ష్టీన్,Andhra Kristava Keerthanalu,"Pass me not, O Gentle Savior",,TELUGU,,https://waytochurch.com/lyrics/song/2710,349,421
2711,dhaasula praarthana dhappaka y,దాసుల ప్రార్థన దప్పక యెసఁగెడు,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,"అడుగుడి, మీ కీయబడును",ragam: పంతువరాళి-pMthuvaraaLi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2711,498,654
2712,parama nmdhumdedu maa parama j,పరమ నందుండెడు మా పరమ జనక నీదు,మల్లెల దావీదు,Andhra Kristava Keerthanalu,ప్రభు ప్రార్థన,ragam: కేదార-kaedhaar,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2712,378,491
2713,aalimchu dhaevaa naa manavula,ఆలించు దేవా నా మనవుల నాలించు ద,పులిపాక జగన్నాధము,Andhra Kristava Keerthanalu,కృప కొరకు ప్రార్థన,ragam: శ్రీరాగము-shreeraagamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2713,504,636
2714,dhaevaa sahaayamu nimmaa jeevm,దేవా సహాయము నిమ్మా జీవంపు టూటల,మిక్కిలి దేవసహాయము,Andhra Kristava Keerthanalu,దైవసహాయము కొరకు ప్రార్థన,ragam: నాధనామక్రియ-naaDhanaamakriy,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2714,659,850
2715,nannu ao gannayya raave naa ya,నన్ను ఁ గన్నయ్య రావె నా యేసు న,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,క్రీస్తునందలి అభయము,ragam: హుసేని-husaeni,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2715,615,760
2716,karunaapeetamu jaerarae dhaevu,కఱుణాపీఠము జేరరే దేవుని కృపా చ,ఏ బి మాసిలామణి,Andhra Kristava Keerthanalu,ఆదర్శ ప్రార్థనలు,ragam: కమాసు-kamaasu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2716,897,1174
2717,yaesu paraloaka naayaka suvi s,యేసు పరలోక నాయక సువి శేష సుఫల,రావూరి లక్ష్మయ్య,Andhra Kristava Keerthanalu,భక్తుని ఆసక్తి,ragam: కాంభోజి-kaaMbhoaji,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2717,677,858
2718,naa yaesu naadhaa nanuao jooda,నా యేసు నాధా ననుఁ జూడవే నా జీవ,పులిపాక జగన్నాధము,Andhra Kristava Keerthanalu,సహాయము కొరకు ప్రార్థన,ragam: రేగూప్తి-raegoopthi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2718,834,1069
2719,vishvaasamuthoa vaeaodedi vaar,విశ్వాసముతో వేఁడెడి వారికి విశ,ఎ జకర్యా,Andhra Kristava Keerthanalu,విశ్వాస ప్రార్థన,ragam: సౌరాష్ట్ర-sauraaShtr,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2719,758,953
2720,vishvaasa phlithamulu vishadha,విశ్వాస ఫలితములు విశదమ్ముగా నీ,మురారి దావీదు,Andhra Kristava Keerthanalu,విశ్వాస ఫలితములు,ragam: జంఝూటి-jMjhooti,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2720,963,1189
2721,smdhiyamu veedavae naa manasaa,సందియము వీడవే నా మనసా యా నందము,పురుషోత్తము చౌదరి,Andhra Kristava Keerthanalu,విశ్వాసమువలని విశ్రాంతి,ragam: మారువ-maaruv,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2721,974,1224
2722,vishvaasamae vijayamu vinu pri,విశ్వాసమే విజయము విను ప్రియుఁడ,మురారి దావీదు,Andhra Kristava Keerthanalu,విశ్వాస విజయము,ragam: కమాను-kamaanu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2722,818,1019
2723,,,రే పామర్,Andhra Kristava Keerthanalu,My faith look up to Thee,,TELUGU,,https://waytochurch.com/lyrics/song/2723,419,516
2724,nee charanamulae nammithi nee,నీ చరణములే నమ్మితి నీ పాదములే,,Andhra Kristava Keerthanalu,క్రీస్తును ఆశ్రయించుట,ragam: శహన-shahan,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2724,681,874
2725,dhinadhinamuku dhikku neevae m,దినదినముకు దిక్కు నీవే మా దేవు,గొల్లపల్లి నతానియేలు,Andhra Kristava Keerthanalu,దేవుఁడే మన దిక్కు,ragam: ఖరహరప్రియ-kharaharapriy,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2725,802,1018
2726,paadudhunu kreesthu paera padh,పాడుదును క్రీస్తు పేర పదము నెం,అల్లారి పెదవీరాస్వామి,Andhra Kristava Keerthanalu,క్రీస్తు పేరటఁ బాడుట,ragam: ఆనందభైరవి-aanMdhabhairavi,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2726,863,1114
2727,jadiyakumu nae nae yunnaanani,జడియకుము నే నే యున్నానని కడు న,బేతాళ జాన్,Andhra Kristava Keerthanalu,కష్టకాలమందు నోదార్పు,ragam: ముఖారి-mukhaari,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2727,857,1100
2728,dhaevuaodae naa kaashraymbu dh,దేవుఁడే నా కాశ్రయంబు దివ్యమైన,పంతగాని పరదేశి,Andhra Kristava Keerthanalu,దేవుఁడే మన యాశ్రయము,ragam: శంకరాభరణము-shMkaraabharaNamu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2728,776,1044
2729,manasu nichchi vinumaa madhi n,మనసు నిచ్చి వినుమా మది ననుసరిం,చెట్టి భానుమూర్తి,Andhra Kristava Keerthanalu,క్రీస్తుని వెంబడించుట,ragam: కమాను-kamaanu,TELUGU,2014-10-16,https://waytochurch.com/lyrics/song/2729,629,835
2730,,,జోసెఫ్ మెడ్లికాట్ స్త్రీవెన్,Andhra Kristava Keerthanalu,What a friend we have in jesus,,TELUGU,,https://waytochurch.com/lyrics/song/2730,607,790
