wtc_id,wtc_title,verdict,library_song_id,library_song_name,fuzzy_score,url
41,ఘనమైనవి నీ కార్యములు నా యెడల,in_library_exact,1241,Ghanamainavi Nee Kaaryamulu,,https://waytochurch.com/lyrics/song/41/ఘనమైనవి-నీ-కార్యములు-నా-యెడల
42,గెత్సేమనే తోటలో ప్రార్ధింప నేర్పితివా,missing,,,,https://waytochurch.com/lyrics/song/42/గెత్సేమనే-తోటలో--ప్రార్ధింప-నేర్పితివా
43,చిరకాల స్నేహితుడా నా హృదయాన సన్నిహితుడా,in_library_exact,1019,Chirakaala Snehithudaa,,https://waytochurch.com/lyrics/song/43/చిరకాల-స్నేహితుడా--నా-హృదయాన-సన్నిహితుడా
44,జయము క్రీస్తూ జయ జయ లివిగో,missing,,,,https://waytochurch.com/lyrics/song/44/జయము-క్రీస్తూ---జయ-జయ-లివిగో
45,జయహే జయహే జయహే జయహే జయ జయ దేవ సుథ,missing,,,,https://waytochurch.com/lyrics/song/45/జయహే-జయహే-జయహే-జయహే--జయ-జయ-దేవ-సుథ
46,జీవనదిని నా హృదయములో ప్రవహింప చేయుమయా,in_library_contained,1071,Jeevanadini Naa Hrudayamulo,,https://waytochurch.com/lyrics/song/46/జీవనదిని-నా-హృదయములో-ప్రవహింప-చేయుమయా
47,దేవుని వారసులం ప్రేమ నివాసులము,in_library_exact,677,Devuni Vaarasulam,,https://waytochurch.com/lyrics/song/47/దేవుని-వారసులం--ప్రేమ-నివాసులము
48,దైవం ప్రేమ స్వరూపం ప్రేమకు భాష్యం శ్రీయేసుడే – అవనిలో,missing,,,,https://waytochurch.com/lyrics/song/48/దైవం-ప్రేమ-స్వరూపం--ప్రేమకు-భాష్యం--శ్రీయేసుడే-–-అవనిలో
49,నన్నెంతగానో ప్రేమించెను నన్నెంతగానో కరుణించెను,in_library_exact,1329,Nannenthagaano Preminchenu,,https://waytochurch.com/lyrics/song/49/నన్నెంతగానో-ప్రేమించెను---నన్నెంతగానో-కరుణించెను
50,నా పేరే తెలియని ప్రజలు ఎందరో ఉన్నారు,in_library_exact,368,Naa Pere Theliyani Prajalu,,https://waytochurch.com/lyrics/song/50/నా-పేరే-తెలియని-ప్రజలు--ఎందరో-ఉన్నారు
51,నా యేసు రాజుతో నేను సాగి పోదును,missing,,,,https://waytochurch.com/lyrics/song/51/నా-యేసు-రాజుతో-నేను-సాగి-పోదును
52,నిన్నే ప్రేమింతును నిన్నే ప్రేమింతును యేసు,in_library_exact,164,Ninne Preminthunu,,https://waytochurch.com/lyrics/song/52/నిన్నే-ప్రేమింతును--నిన్నే-ప్రేమింతును----యేసు
53,నిత్యుడైన దేవుని తోడు నీడ నీపై ఉడును,missing,,,,https://waytochurch.com/lyrics/song/53/నిత్యుడైన-దేవుని-తోడు-నీడ--నీపై-ఉడును
54,నీటి యూట యొద్ద నాట బడితిమి వేరుతన్ని ఎదిగి ఫలియింతుము,missing,,,,https://waytochurch.com/lyrics/song/54/నీటి-యూట-యొద్ద-నాట-బడితిమి--వేరుతన్ని-ఎదిగి-ఫలియింతుము
55,నీటి వాగుల కొరకు దుప్పి ఆశించునట్లు,in_library_exact,338,Naa Praanamaa Naa Samasthamaa,,https://waytochurch.com/lyrics/song/55/నీటి-వాగుల-కొరకు-దుప్పి-ఆశించునట్లు
56,నీవు నిర్మించిన దేవాలయములో నీతో జత పనివారము,missing,,,,https://waytochurch.com/lyrics/song/56/నీవు-నిర్మించిన-దేవాలయములో-నీతో-జత-పనివారము
57,నీ స్వరము వినిపించు ప్రభువా నీ దాసుడాలకించున్,in_library_exact,1058,Nee Swaramu,,https://waytochurch.com/lyrics/song/57/నీ-స్వరము-వినిపించు-ప్రభువా-నీ-దాసుడాలకించున్
58,నీలాకాశంలోన నింగికెగసె తార,missing,,,,https://waytochurch.com/lyrics/song/58/నీలాకాశంలోన-నింగికెగసె-తార
59,నీ శిలువలోనే నా ముక్తీ నీ నీడలోనే నా జీవితం,missing,,,,https://waytochurch.com/lyrics/song/59/నీ-శిలువలోనే-నా--ముక్తీ---నీ-నీడలోనే-నా-జీవితం
60,నీవుంటే నాకు చాలు యేసయ్యా నీ వెంటే నేను వుంటా నేసయ్యా,in_library_fuzzy,1563,Neevunte Naaku Chaalu Yesayyaa,0.905,https://waytochurch.com/lyrics/song/60/నీవుంటే--నాకు-చాలు-యేసయ్యా--నీ-వెంటే-నేను-వుంటా-నేసయ్యా
61,నే పాపినో ప్రభువా నను కావుమా దేవా,missing,,,,https://waytochurch.com/lyrics/song/61/నే-పాపినో-ప్రభువా--నను-కావుమా-దేవా
62,పరమ జీవము నాకు నివ్వ తిరిగి లేచెను నాతో నుండ,in_library_exact,549,Parama Jeevamu,,https://waytochurch.com/lyrics/song/62/పరమ-జీవము-నాకు-నివ్వ--తిరిగి-లేచెను-నాతో-నుండ
63,పరమ పావనుడు మరియ తనయుడు అవతరించెనే శుభ దినాన,missing,,,,https://waytochurch.com/lyrics/song/63/పరమ-పావనుడు-మరియ-తనయుడు-అవతరించెనే-శుభ-దినాన
64,ప్రభువా నీ కార్యములు ఆశ్చర్య కరమైనవి,in_library_exact,1694,Prabhuvaa Nee Kaaryamulu Aashcharyakaramainavi,,https://waytochurch.com/lyrics/song/64/ప్రభువా-నీ-కార్యములు-ఆశ్చర్య-కరమైనవి
65,పాడెదము వేడెదము యేసు నామము,missing,,,,https://waytochurch.com/lyrics/song/65/పాడెదము-వేడెదము-యేసు-నామము
66,ప్రార్ధన వినెడి పావనుడా ప్రార్ధన మాకు నేర్పుమయా,missing,,,,https://waytochurch.com/lyrics/song/66/ప్రార్ధన-వినెడి-పావనుడా--ప్రార్ధన-మాకు-నేర్పుమయా
68,మహోదయం శుభోదయం సర్వలోకాని కరుణోదయం,missing,,,,https://waytochurch.com/lyrics/song/68/మహోదయం--శుభోదయం--సర్వలోకాని-కరుణోదయం
69,మరణము గెలిచెను మన ప్రభువు – మనుజాళి రక్షణ కోసమూ,in_library_exact,299,Maranamu Gelichenu,,https://waytochurch.com/lyrics/song/69/మరణము-గెలిచెను-మన-ప్రభువు-–-మనుజాళి-రక్షణ-కోసమూ
70,మందలో చేరని గొర్రెలెన్నో కోట్ల కొలదిగా కలవు యిల,missing,,,,https://waytochurch.com/lyrics/song/70/మందలో-చేరని-గొర్రెలెన్నో-కోట్ల-కొలదిగా-కలవు-యిల
71,యెహోవ నా కాపరి యెహోవ నా ఊపిరి నాకు లేమి ఏమి,missing,,,,https://waytochurch.com/lyrics/song/71/యెహోవ-నా-కాపరి--యెహోవ-నా-ఊపిరి-నాకు-లేమి--ఏమి
72,యెహోవా నీ నామము ఎంతో బలమైనది,in_library_exact,445,Yehovaa Nee Naamamu,,https://waytochurch.com/lyrics/song/72/యెహోవా-నీ-నామము--ఎంతో-బలమైనది
73,యేసు రక్తము రక్తము రక్తము యేసు రక్తము రక్తము రక్తము,missing,,,,https://waytochurch.com/lyrics/song/73/యేసు-రక్తము-రక్తము--రక్తము--యేసు-రక్తము-రక్తము-రక్తము
74,యెహోవా దయాళుడు,in_library_exact,452,Yehovaa Dayaaludu (Aayanake Kruthagnatha),,https://waytochurch.com/lyrics/song/74/యెహోవా-దయాళుడు
75,యేసు నీ క్రుపలో మము కాపాడుము దేవా,missing,,,,https://waytochurch.com/lyrics/song/75/యేసు-నీ-క్రుపలో-మము-కాపాడుము-దేవా
76,రండహో వినరండహో శుభ వార్త ఒకటి వినిపించెదం,missing,,,,https://waytochurch.com/lyrics/song/76/రండహో-వినరండహో-శుభ-వార్త-ఒకటి-వినిపించెదం
77,రండి యెహోవాను గూర్చి ఉత్సాహగానము చేయుదము,in_library_fuzzy,1600,Randi Yehovaanu Goorchi,0.895,https://waytochurch.com/lyrics/song/77/రండి-యెహోవాను-గూర్చి-ఉత్సాహగానము-చేయుదము
78,రాకడ సమయములో కడబూర శబ్దంలో,missing,,,,https://waytochurch.com/lyrics/song/78/రాకడ-సమయములో-కడబూర-శబ్దంలో
79,రుచి చూచి ఎరిగితిని యెహోవా ఉత్తముడనియు,in_library_exact,895,Ruchi Choochi Erigithini,,https://waytochurch.com/lyrics/song/79/రుచి-చూచి-ఎరిగితిని-యెహోవా-ఉత్తముడనియు
80,లెక్కలేని చుక్కలెన్నో చక్కగా వెలుగుచుండ,missing,,,,https://waytochurch.com/lyrics/song/80/లెక్కలేని-చుక్కలెన్నో-చక్కగా-వెలుగుచుండ
81,లెక్కింపలేని స్తోత్రముల్ దేవా ఎల్లప్పుడు నే పాడెదన్,missing,,,,https://waytochurch.com/lyrics/song/81/లెక్కింపలేని-స్తోత్రముల్--దేవా-ఎల్లప్పుడు-నే-పాడెదన్
82,విజయ ఘోష వినిపించెను విశ్వమంత గళము లెత్తి వినిపించర స్తోత్ర గీతముల్,missing,,,,https://waytochurch.com/lyrics/song/82/విజయ-ఘోష-వినిపించెను-విశ్వమంత-గళము-లెత్తి-వినిపించర-స్తోత్ర-గీతముల్
83,విమోచకుడు మన యేసు ప్రభువు అవతరించిన శుభ దినమే,missing,,,,https://waytochurch.com/lyrics/song/83/విమోచకుడు-మన-యేసు-ప్రభువు--అవతరించిన-శుభ-దినమే
84,సదా కాలము నీతో నేను జీవించెదను యేసయ్యా,in_library_exact,1126,Sadaa Kaalamu Neetho Nenu,,https://waytochurch.com/lyrics/song/84/సదా-కాలము-నీతో-నేను-జీవించెదను--యేసయ్యా
85,సమీపించరాని తెజేస్సులోనీవు వశియించువాడవయా,in_library_fuzzy,38,Sameepincharaani Thejassulo,0.950,https://waytochurch.com/lyrics/song/85/సమీపించరాని-తెజేస్సులోనీవు-వశియించువాడవయా
86,సర్వకృపానిధియగు ప్రభువా సకల చరాచర సంతోషమా,in_library_exact,1424,Sarva Krupaanidhiyagu Prabhuvaa,,https://waytochurch.com/lyrics/song/86/సర్వకృపానిధియగు-ప్రభువా--సకల-చరాచర-సంతోషమా
87,సాగి పోదును ఆగి పోను నేను,in_library_exact,1293,Saagipodunu Aagiponu Nenu,,https://waytochurch.com/lyrics/song/87/సాగి-పోదును--ఆగి-పోను-నేను
88,సిల్వలో నాకై కార్చెను యేసు రక్తము,in_library_exact,1419,Silvalo Naakai Kaarchenu,,https://waytochurch.com/lyrics/song/88/సిల్వలో-నాకై-కార్చెను--యేసు-రక్తము
89,సిలువయందె నీదు ప్రేమ తెలిసికొంటినో ప్రభు,missing,,,,https://waytochurch.com/lyrics/song/89/సిలువయందె-నీదు-ప్రేమ-తెలిసికొంటినో-ప్రభు
90,సృష్టికర్త యేసుని స్తుతించెదము సర్వసృష్టియు ప్రభు క్రియలే,missing,,,,https://waytochurch.com/lyrics/song/90/సృష్టికర్త--యేసుని--స్తుతించెదము-సర్వసృష్టియు-ప్రభు-క్రియలే
91,సృష్టి పితా సర్వో న్నతా సమర్పింతున్ సర్వస్వమున్,missing,,,,https://waytochurch.com/lyrics/song/91/సృష్టి-పితా--సర్వో--న్నతా--సమర్పింతున్--సర్వస్వమున్
92,స్తోత్రం చెల్లింతుము స్తుతి స్తోత్రం చెల్లింతుము,in_library_exact,927,Sthothram Chellinthumu,,https://waytochurch.com/lyrics/song/92/స్తోత్రం-చెల్లింతుము--స్తుతి-స్తోత్రం-చెల్లింతుము
93,శ్రీ యేసు గీతి పాడవా ఆ సిల్వ ప్రేమ చాటవా,missing,,,,https://waytochurch.com/lyrics/song/93/శ్రీ-యేసు-గీతి-పాడవా--ఆ--సిల్వ--ప్రేమ--చాటవా
94,హల్లెలూయ స్తుతి మహిమ ఎల్లప్పుడు దేవుని కిచ్చెదము,in_library_exact,217,Hallelooya Sthuthi Mahima,,https://waytochurch.com/lyrics/song/94/హల్లెలూయ-స్తుతి-మహిమ-ఎల్లప్పుడు-దేవుని-కిచ్చెదము
95,హల్లెలూయ యేసు ప్రభున్ ఎల్లరు స్తుతియించుడి,in_library_exact,329,Hallelooyaa Yesu Prabhun,,https://waytochurch.com/lyrics/song/95/హల్లెలూయ-యేసు-ప్రభున్-ఎల్లరు-స్తుతియించుడి
96,హల్లేలూయ పాడెద ప్రభు నిన్ను కొనియాడెదన్,in_library_exact,345,Hallelooyaa Paadedaaa,,https://waytochurch.com/lyrics/song/96/హల్లేలూయ-పాడెద--ప్రభు-నిన్ను-కొనియాడెదన్
107,ఆయెనె నా సంగీతము బలమైన కోటయును,in_library_exact,1374,Aayane Naa Sangeethamu,,https://waytochurch.com/lyrics/song/107/ఆయెనె-నా-సంగీతము--బలమైన-కోటయును
108,అబ్రహాము దేవుడవు ఇస్సాకు దేవుడవు,missing,,,,https://waytochurch.com/lyrics/song/108/అబ్రహాము-దేవుడవు--ఇస్సాకు-దేవుడవు
109,ఆరాధన అధిక స్తోత్రము నా యేసుకే నేనర్పింతును,in_library_exact,313,Aaraadhana Adhika Sthothramu,,https://waytochurch.com/lyrics/song/109/ఆరాధన-అధిక-స్తోత్రము--నా-యేసుకే-నేనర్పింతును
110,చాటించుడి మనుష్య జాతి కేసు నామము చాటించుడి యవశ్య యేసు ప్రేమ సారము,in_library_fuzzy,1211,Chaatinchudi Manushya Jaathi,0.933,https://waytochurch.com/lyrics/song/110/చాటించుడి-మనుష్య-జాతి-కేసు-నామము--చాటించుడి-యవశ్య-యేసు-ప్రేమ-సారము
111,చింత లేదిక యేసు పుట్టెను,in_library_exact,61,Chintha Ledika,,https://waytochurch.com/lyrics/song/111/చింత-లేదిక-యేసు-పుట్టెను
112,చూడుము గెత్సెమనె తోటలో నా ప్రియుడు,missing,,,,https://waytochurch.com/lyrics/song/112/చూడుము-గెత్సెమనె--తోటలో-నా-ప్రియుడు
113,దేవా మహోన్నతుడా మహిమా ప్రకాశితుడా,in_library_exact,584,Devaa Mahonnathudaa,,https://waytochurch.com/lyrics/song/113/దేవా-మహోన్నతుడా-మహిమా-ప్రకాశితుడా
114,దేవా నీ యావరణం మాకెంతో శ్రేయస్కరం,missing,,,,https://waytochurch.com/lyrics/song/114/దేవా-నీ-యావరణం-మాకెంతో-శ్రేయస్కరం
